rule_id,service,entity_type,country,state,requirement_type,requirement_name,mandatory,authority,source_id,source_url,source_section,status
RUL-MCA-001,company_incorporation,private_limited_company,India,all,form,"SPICe+ Part A & Part B Integrated Incorporation Application",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-003,https://www.mca.gov.in/content/mca/global/en/services/company-services/incorporation-services.html,"SPICe+ Instruction Kit - Section 1: Integrated Incorporation Procedure",approved
RUL-MCA-002,llp_registration,llp,India,all,form,"Form FiLLiP Integrated LLP Incorporation & Form 3 Agreement Filing",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-009,https://www.mca.gov.in/content/mca/global/en/services/llp-services/fillip-instruction-kit.html,"RUN-LLP & FiLLiP Instruction Kit - Section 2: FiLLiP E-Form Procedure",approved
RUL-MCA-003,company_incorporation,private_limited_company,India,all,document,"Registered Office Rented Premises Proof Package",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-002,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,"Companies (Incorporation) Rules 2014 - Rule 25(1)(b) & (c)",approved
RUL-MCA-004,company_incorporation,private_limited_company,India,all,document,"Registered Office Owned Premises Proof Package",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-002,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,"Companies (Incorporation) Rules 2014 - Rule 25(1)(a) & (d)",approved
RUL-MCA-005,company_incorporation,private_limited_company,India,all,document,"Indian Resident Subscriber Identity & Address Proof",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-002,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,"Companies (Incorporation) Rules 2014 - Rule 16(1)",approved
RUL-MCA-006,company_incorporation,private_limited_company,India,all,document,"Foreign Subscriber Passport & Apostilled Verification Proofs",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-002,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,"Companies (Incorporation) Rules 2014 - Rule 16(2)",approved
RUL-MCA-007,company_incorporation,private_limited_company,India,all,document,"Corporate Shareholder Board Resolution & Certificate of Incorporation",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-002,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,"Companies (Incorporation) Rules 2014 - Rule 16(3)",approved
RUL-MCA-008,company_incorporation,opc,India,all,eligibility,"Sole Member Eligibility & Nominee Consent (Form INC-3)",true,"Ministry of Corporate Affairs (MCA), Government of India",SRC-MCA-006,https://www.mca.gov.in/content/mca/global/en/help/faqs/company-incorporation-faqs.html,"Company Incorporation FAQs - Q4: OPC Rules",approved
RUL-GST-009,gst_registration,private_limited_company,India,all,form,"AGILE-PRO-S Linked GSTIN Application",false,"Central Board of Indirect Taxes and Customs (CBIC) & MCA",SRC-MCA-005,https://www.mca.gov.in/content/mca/global/en/services/company-services/agile-pro-s-guidelines.html,"AGILE-PRO-S Instruction Kit - Section 1: GSTIN Option",approved
RUL-DPIIT-010,dpiit_startup_recognition,startup,India,all,eligibility,"DPIIT Startup Recognition Certificate",false,"Department for Promotion of Industry and Internal Trade (DPIIT)",SRC-DPIIT-010,https://www.startupindia.gov.in/content/sih/en/startup-scheme.html,"DPIIT Notification G.S.R. 127(E) - Paragraph 1 & 2",approved
RUL-MAH-011,state_registration,private_limited_company,India,Maharashtra,form,"Maharashtra Shops and Establishments Registration Certificate (Form A)",true,"Labour Department, Government of Maharashtra",SRC-MAH-014,https://maharashtra.gov.in/,"Maharashtra Shops & Establishments Act 2017 - Section 6",approved
RUL-MAH-012,state_registration,private_limited_company,India,Maharashtra,form,"Maharashtra Shops Intimation Receipt (Form F - Gumasta)",true,"Labour Department, Government of Maharashtra",SRC-MAH-014,https://maharashtra.gov.in/,"Maharashtra Shops & Establishments Act 2017 - Section 7",approved
