"rule_id","category","service","entity_type","jurisdiction","industry_or_sector","rule_title","rule_description","applicability_condition","required_document","accepted_alternatives","required_form","mandatory","conditional","authority","official_source_title","official_source_url","source_section_or_page","effective_from","effective_to","last_verified","status","confidence","notes"
"RUL-MCA-003","document_requirement","company_incorporation","private_limited_company","India","all","Registered Office Rented Premises Proof Package","When the proposed registered office is rented, the applicant must provide a notarized/registered Lease Deed or Rent Agreement, owner NOC, and utility bill not older than two months.","IF premises_occupancy_type equals rented","Registered Lease Deed or Rent Agreement; Owner No Objection Certificate (NOC); Utility Bill (Electricity, Gas, Water, Telephone) < 2 months old","Lease Deed; Rent Agreement with Rent Paid Receipt","SPICe+ Part B Attachment; Form FiLLiP Attachment","true","true","Ministry of Corporate Affairs (MCA), Government of India","Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html","Companies (Incorporation) Rules 2014 - Rule 25(1)(b) & (c)","2014-04-01","","2026-09-13","approved","high","Utility bill (electricity, gas, water, mobile) must be in the property owner name and strictly less than 2 months old."
"RUL-MCA-004","document_requirement","company_incorporation","private_limited_company","India","all","Registered Office Owned Premises Proof Package","When the proposed registered office is owned by the company or promoter, property title deed or municipal tax receipt must be submitted along with a recent utility bill.","IF premises_occupancy_type equals owned","Property Title Deed or Municipal Tax Paid Receipt; Owner NOC (if owned by promoter individually); Utility Bill < 2 months old","Property Title Deed; Municipal Tax Paid Receipt; Registry Conveyance Deed","SPICe+ Part B Attachment; Form FiLLiP Attachment","true","true","Ministry of Corporate Affairs (MCA), Government of India","Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html","Companies (Incorporation) Rules 2014 - Rule 25(1)(a) & (d)","2014-04-01","","2026-09-13","approved","high","Owner NOC is required if property is owned by individual promoter or director in their personal capacity."
"RUL-MCA-005","document_requirement","company_incorporation","private_limited_company","India","all","Indian Resident Subscriber Identity & Address Proof","Indian resident subscribers and directors must submit mandatory PAN card along with identity proof (Voter ID, Passport, Driving License, or Aadhaar) and address proof (Bank statement, Electricity bill, Mobile bill < 2 months old).","IF subscriber_citizenship equals indian_resident","PAN Card of Directors/Subscribers; Identity Proof; Address Proof (< 2 months old)","Voter ID; Passport; Driving License; Aadhaar Card","SPICe+ Part B Director Proofs; Form FiLLiP Attachments","true","true","Ministry of Corporate Affairs (MCA), Government of India","Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html","Companies (Incorporation) Rules 2014 - Rule 16(1)","2014-04-01","","2026-09-13","approved","high","PAN is mandatory for Indian nationals residing in India. Aadhaar is acceptable but not exclusively mandated."
"RUL-MCA-006","document_requirement","company_incorporation","private_limited_company","India","all","Foreign Subscriber Passport & Apostilled Verification Proofs","Foreign subscribers or directors must submit valid Passport copy notarized and apostilled in the home country (or embassy certified), along with apostilled proof of residential address.","IF subscriber_citizenship equals foreign_national","Apostilled / Consular Certified Foreign Passport; Apostilled Proof of Residential Address; Physical MoA and AoA Subscriber Sheet","Apostilled Foreign Passport; Consular Certified Identity Card","SPICe+ Part B Attachment; Physical MoA/AoA Attachment","true","true","Ministry of Corporate Affairs (MCA), Government of India","Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html","Companies (Incorporation) Rules 2014 - Rule 16(2)","2014-04-01","","2026-09-13","approved","high","Physical MoA and AoA are mandatory when subscribers include foreign individuals or foreign body corporates."
"RUL-MCA-007","document_requirement","company_incorporation","private_limited_company","India","all","Corporate Shareholder Board Resolution & Certificate of Incorporation","When a body corporate is a subscriber, it must submit Board Resolution authorizing investment & appointment of authorized representative, Certificate of Incorporation, and MoA/AoA of holding corporate.","IF has_corporate_shareholder equals true","Board Resolution of Corporate Shareholder; Certificate of Incorporation of Holding Corporate; Identity & Address Proof of Authorized Representative","Board Resolution with Seal & Certified Copy of Charter","SPICe+ Part B Attachment; Form FiLLiP Attachment","true","true","Ministry of Corporate Affairs (MCA), Government of India","Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html","Companies (Incorporation) Rules 2014 - Rule 16(3)","2014-04-01","","2026-09-13","approved","high","If holding company is foreign, board resolution and incorporation documents must be apostilled/consular certified."
"RUL-MCA-008","eligibility","company_incorporation","opc","India","all","One Person Company (OPC) Member Eligibility & Nominee Consent (Form INC-3)","One Person Company (OPC) member must be a natural person who is an Indian citizen. A nominee consent in Form INC-3 along with nominee identity/address proof is mandatory.","IF entity_type equals opc","Form INC-3 Written Consent of Nominee; Identity & Address Proof of Sole Member and Nominee","Voter ID; Passport; Driving License; Aadhaar Card","SPICe+ Part B; Form INC-3 Nominee Consent","true","true","Ministry of Corporate Affairs (MCA), Government of India","Frequently Asked Questions (FAQs) on SPICe+ and Company Incorporation","https://www.mca.gov.in/content/mca/global/en/help/faqs/company-incorporation-faqs.html","Company Incorporation FAQs - Q4: OPC Rules","2021-04-01","","2026-09-13","approved","high","Nominee must be an Indian citizen. NRI residency requirement reduced to 120 days under Companies Amendment Rules 2021."
"RUL-GST-009","gst","gst_registration","private_limited_company","India","all","AGILE-PRO-S Linked GSTIN Application During Incorporation","Opting for GST registration during company incorporation via AGILE-PRO-S form (INC-35). Requires primary authorized signatory declaration and bank account nomination.","IF apply_gst_during_incorporation equals true","Photo of Primary Authorized Signatory; Board Resolution / Letter of Authorization for GST Signatory; Proof of Principal Place of Business","Post-Incorporation Form GST REG-01","AGILE-PRO-S (INC-35); Form GST REG-01","false","true","Central Board of Indirect Taxes and Customs (CBIC) & MCA","AGILE-PRO-S (INC-35) Application Guide for GSTIN, EPFO, ESIC, Bank Account & Professional Tax","https://www.mca.gov.in/content/mca/global/en/services/company-services/agile-pro-s-guidelines.html","AGILE-PRO-S Instruction Kit - Section 1: GSTIN Option","2021-06-07","","2026-09-13","approved","high","GST registration is optional during incorporation unless business activity triggers mandatory registration under Section 24 CGST Act."
"RUL-MCA-001","incorporation","company_incorporation","private_limited_company","India","all","SPICe+ Part A & Part B Integrated Company Incorporation Application","Filing of integrated web application SPICe+ Part A for name reservation and SPICe+ Part B for incorporation, DIN allotment, PAN, TAN, EPFO, ESIC, Bank Account, and Professional Tax.","IF entity_type equals private_limited_company AND incorporation_channel equals spice_plus","Digital Signature Certificate (DSC) Class 3; Proof of Identity and Address of Directors; Registered Office Lease Deed or Ownership Deed","Voter ID; Passport; Driving License; Aadhaar Card","SPICe+ Part A (INC-32); SPICe+ Part B (INC-32); e-MoA (INC-33); e-AoA (INC-34); AGILE-PRO-S (INC-35); INC-9","true","true","Ministry of Corporate Affairs (MCA), Government of India","SPICe+ (INC-32) Part A and Part B Instruction Kit & User Guide","https://www.mca.gov.in/content/mca/global/en/services/company-services/incorporation-services.html","SPICe+ Instruction Kit - Section 1: Integrated Incorporation Procedure","2020-02-23","","2026-09-13","approved","high","Zero MCA Government Fee applies for companies with Authorized Capital up to Rs. 15,00,000 under SPICe+ Part B scheme. State Stamp Duty remains payable."
"RUL-LBR-013","labour_registration","epfo_registration","private_limited_company","India","all","EPFO Employee Provident Fund Mandatory Threshold Registration","Registration under EPF & MP Act 1952 is mandatory for commercial and industrial establishments employing 20 or more persons.","IF employee_count greater_than 19","PAN Card of Establishment; Bank Account Cancelled Cheque; Specimen Signatures of Authorized Signatories; Employee List","AGILE-PRO-S Auto-Allotted EPF Code Number","Shram Suvidha Portal EPF Application; AGILE-PRO-S (INC-35)","true","true","Employees Provident Fund Organisation (EPFO), Ministry of Labour & Employment","EPFO & ESIC Mandatory Registration Criteria under Shram Suvidha & MCA AGILE-PRO-S Portal","https://www.epfindia.gov.in/","EPF & MP Act 1952 - Section 1(3) Applicability Criteria","2020-02-23","","2026-09-13","approved","high","Auto-allotment of EPF Code Number is enabled for all newly incorporated companies via MCA AGILE-PRO-S form. Compliance obligations commence when employee strength reaches 20."
"RUL-LBR-014","labour_registration","esic_registration","private_limited_company","India","all","ESIC Employee State Insurance Mandatory Threshold Registration","Registration under ESI Act 1948 is mandatory for non-seasonal factories or establishments employing 10 or more persons with wages up to Rs. 21,000 per month.","IF employee_count greater_than 9 AND employee_monthly_wages_inr less_than_or_equal 21000","PAN & GSTIN of Entity; Factory/Establishment Address Proof; List of Employees with Family Details & Wages","AGILE-PRO-S Auto-Allotted ESI Code Number","Shram Suvidha Portal ESI Application; AGILE-PRO-S (INC-35)","true","true","Employees State Insurance Corporation (ESIC), Ministry of Labour & Employment","EPFO & ESIC Mandatory Registration Criteria under Shram Suvidha & MCA AGILE-PRO-S Portal","https://www.epfindia.gov.in/","ESI Act 1948 - Section 2(12) & Wage Ceiling Rules","2020-02-23","","2026-09-13","approved","high","ESI Code Number is auto-allotted via MCA AGILE-PRO-S form during incorporation."
"RUL-MCA-002","llp_registration","llp_registration","llp","India","all","Form FiLLiP Integrated LLP Incorporation & Form 3 Agreement Filing","Filing of Form FiLLiP for incorporation of LLP and DPIN allotment, followed by Form 3 within 30 days of registration for filing the executed LLP Agreement.","IF entity_type equals llp AND incorporation_channel equals fillip","Subscriber Sheet & Consent of Partners; Proof of Registered Office Address; Identity & Address Proof of Designated Partners","Voter ID; Passport; Driving License; Aadhaar Card","RUN-LLP; Form FiLLiP; Form 3 LLP Agreement","true","true","Ministry of Corporate Affairs (MCA), Government of India","RUN-LLP & Form FiLLiP Instruction Kit for LLP Incorporation and Form 3 Rules","https://www.mca.gov.in/content/mca/global/en/services/llp-services/fillip-instruction-kit.html","RUN-LLP & FiLLiP Instruction Kit - Section 2: FiLLiP E-Form Procedure","2022-04-01","","2026-09-13","approved","high","Form 3 must be filed within 30 days of LLP incorporation with executed LLP Agreement stamped under State Stamp Act."
"RUL-SEC-015","sector_licence","sector_specific_registration","private_limited_company","Maharashtra","manufacturing","Pollution Control Board Consent to Establish / Operate (MPCB)","Manufacturing entities generating trade effluent or air emissions must obtain Consent to Establish prior to plant construction and Consent to Operate prior to commercial production under Water and Air Acts.","IF industry_or_sector equals manufacturing AND state equals Maharashtra","Manufacturing Process Flowchart; Plant & Machinery Details; Water Consumption & Effluent Balance; Plot Layout Plan","MAITRI Single Window Combined Application Form","MPCB Consent Application (MAITRI / MPCB Portal)","needs_review","true","Maharashtra Pollution Control Board (MPCB), Government of Maharashtra","Maharashtra Industry Trade and Investment Facilitation Cell (MAITRI) Act & Portal Guidelines","https://industry.maharashtra.gov.in/en/allied-offices/maharashtra-industry-trade-and-investment-facilitation-cell-maitri","MAITRI Act 2016 - Schedule I Industrial Approvals","2016-03-08","","2026-09-13","needs_review","medium","Categorization into Red, Orange, Green, or White depends on Pollution Index score calculated by MPCB."
"RUL-SEC-016","sector_licence","sector_specific_registration","private_limited_company","Maharashtra","manufacturing","Factory License under Factories Act, 1948 (DISH Maharashtra)","Factories employing 10 or more workers with power or 20 or more workers without power must obtain Factory Building Plan Approval and Factory License from Directorate of Industrial Safety and Health (DISH).","IF industry_or_sector equals manufacturing AND employee_count greater_than 9 AND uses_power equals true","Factory Plan Approval Drawing; Machinery Safety Certificate; List of Chemical Hazards; Stability Certificate from Competent Person","MAITRI Single Window Combined Application Form","DISH Form 1 & Form 2 Factory License Application","needs_review","true","Directorate of Industrial Safety and Health (DISH), Government of Maharashtra","Maharashtra Industry Trade and Investment Facilitation Cell (MAITRI) Act & Portal Guidelines","https://industry.maharashtra.gov.in/en/allied-offices/maharashtra-industry-trade-and-investment-facilitation-cell-maitri","Factories Act 1948 - Section 6 & DISH Portal Rules","2016-03-08","","2026-09-13","needs_review","medium","Requires annual renewal or multi-year fee payment as per DISH Maharashtra guidelines."
"RUL-DPIIT-010","startup_recognition","dpiit_startup_recognition","startup","India","all","DPIIT Startup Recognition Certificate & Eligibility","Entity registered as Private Limited, LLP, or Registered Partnership within 10 years of incorporation with annual turnover < Rs. 100 Crore and working on innovation/scalability.","IF is_startup_applicant equals true AND annual_turnover_inr_cr less_than 100 AND years_since_incorporation less_than 10","Certificate of Incorporation or Registration Certificate; Pitch Deck / Write-up on Nature of Business & Innovation","Patents Granted Certificate; Proof of Concept Write-up","Startup India Online Application Form","false","true","Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Commerce & Industry","DPIIT Recognition Eligibility and Online Application Guidelines for Startups","https://www.startupindia.gov.in/content/sih/en/startup-scheme.html","DPIIT Notification G.S.R. 127(E) - Paragraph 1 & 2","2019-02-19","","2026-09-13","approved","high","Entities formed by splitting up or reconstruction of existing business are ineligible."
"RUL-MAH-011","state_registration","maharashtra_registration","private_limited_company","Maharashtra","all","Maharashtra Shops and Establishments Registration Certificate (Form A)","Establishments in Maharashtra employing 10 or more workers must apply online in Form A for Shops and Establishment Registration Certificate within 60 days of business launch.","IF state equals Maharashtra AND employee_count greater_than 9","PAN & Aadhaar of Employer; Premises Address Proof & Rent Agreement; List of Employees; Photo of Establishment Board in Marathi","Aaple Sarkar Online Portal Verified Uploads","Form A Registration Application (Aaple Sarkar / MAITRI Portal)","true","true","Labour Department, Government of Maharashtra","Maharashtra Shops and Establishments (Regulation of Employment and Conditions of Service) Act, 2017","https://maharashtra.gov.in/","Maharashtra Shops & Establishments Act 2017 - Section 6","2017-12-19","","2026-09-13","approved","high","For establishments with 0 to 9 workers, only Form F Intimation (Gumasta Intimation) is required."
"RUL-MAH-012","state_registration","maharashtra_registration","private_limited_company","Maharashtra","all","Maharashtra Shops Intimation Receipt (Form F - Gumasta)","Establishments in Maharashtra with 0 to 9 workers submit online Intimation in Form F along with self-declaration to receive instant online receipt.","IF state equals Maharashtra AND employee_count less_than 10","Self-Declaration of Employer; Identity & Address Proof; Self-Attested Premises Ownership/Lease Proof","Online Self-Declaration Receipt","Form F Online Intimation (Aaple Sarkar / MAITRI Portal)","true","true","Labour Department, Government of Maharashtra","Maharashtra Shops and Establishments (Regulation of Employment and Conditions of Service) Act, 2017","https://maharashtra.gov.in/","Maharashtra Shops & Establishments Act 2017 - Section 7","2017-12-19","","2026-09-13","approved","high","No inspection or renewal fee is required for Form F intimation receipts."
